target_idx,train_idx,rank,method
37,229,12,primary
37,81,13,primary
37,48,14,primary
37,18,15,primary
37,64,16,primary
37,78,17,primary
37,236,18,primary
37,49,19,primary
37,108,20,primary
37,88,21,primary
37,107,22,primary
37,242,23,primary
37,257,24,primary
37,173,25,primary
37,213,26,primary
37,195,27,primary
38,162,0,primary
38,110,1,primary
38,238,2,primary
38,197,3,primary
38,244,4,primary
38,217,5,primary
38,143,6,primary
38,121,7,primary
38,176,8,primary
39,109,0,primary
39,140,1,primary
39,15,2,primary
39,218,3,primary
39,12,4,primary
39,36,5,primary
39,185,6,primary
39,281,7,primary
39,246,8,primary
39,80,9,primary
39,222,10,primary
39,214,11,primary
39,266,12,primary
39,1,13,primary
39,225,14,primary
39,125,15,primary
39,118,16,primary
39,116,17,primary
39,148,18,primary
39,101,19,primary
39,82,20,primary
39,150,21,primary
39,248,22,primary
39,8,23,primary
39,54,24,primary
39,160,25,primary
39,104,26,primary
39,182,27,primary
39,270,28,primary
40,167,0,primary
40,169,1,primary
40,91,2,primary
40,142,3,primary
40,130,4,primary
40,90,5,primary
40,198,6,primary
40,134,7,primary
40,74,8,primary
41,114,0,primary
41,34,1,primary
41,273,2,primary
41,253,3,primary
41,250,4,primary
41,223,5,primary
41,179,6,primary
41,284,7,primary
41,290,8,primary
41,260,9,primary
41,92,10,primary
41,243,11,primary
41,99,12,primary
41,165,13,primary
41,117,14,primary
41,252,15,primary
41,62,16,primary
41,70,17,primary
41,274,18,primary
41,97,19,primary
41,56,20,primary
41,30,21,primary
42,183,0,primary
42,245,1,primary
42,155,2,primary
42,126,3,primary
42,235,4,primary
42,108,5,primary
42,9,6,primary
42,211,7,primary
42,61,8,primary
42,194,9,primary
42,107,10,primary
42,229,11,primary
42,257,12,primary
42,213,13,primary
42,173,14,primary
42,64,15,primary
42,236,16,primary
42,136,17,primary
42,49,18,primary
42,195,19,primary
42,88,20,primary
42,242,21,primary
43,188,0,primary
43,53,1,primary
43,200,2,primary
43,268,3,primary
43,95,4,primary
43,122,5,primary
43,189,6,primary
43,202,7,primary
43,259,8,primary
43,133,9,primary
43,52,10,primary
43,37,11,primary
43,226,12,primary
43,228,13,primary
43,187,14,primary
43,212,15,primary
43,112,16,primary
43,113,17,primary
43,289,18,primary
44,172,0,primary
44,141,1,primary
44,66,2,primary
44,288,3,primary
44,191,4,primary
44,115,5,primary
44,177,6,primary
44,87,7,primary
44,283,8,primary
44,205,9,primary
44,159,10,primary
44,60,11,primary
44,176,12,primary
44,143,13,primary
44,41,14,primary
45,275,0,primary
45,146,1,primary
45,175,2,primary
45,215,3,primary
45,286,4,primary
45,5,5,primary
45,254,6,primary
45,43,7,primary
45,196,8,primary
45,181,9,primary
45,137,10,primary
45,72,11,primary
45,13,12,primary
45,171,13,primary
45,227,14,primary
45,261,15,primary
46,241,0,primary
46,16,1,primary
46,23,2,primary
46,186,3,primary
46,247,4,primary
46,168,5,primary
46,139,6,primary
46,4,7,primary
46,174,8,primary
46,96,9,primary
46,3,10,primary
46,210,11,primary
46,76,12,primary
46,280,13,primary
46,193,14,primary
46,75,15,primary
46,58,16,primary
46,278,17,primary
46,206,18,primary
46,208,19,primary
46,42,20,primary
47,166,0,primary
47,199,1,primary
47,149,2,primary
47,157,3,primary
47,138,4,primary
47,236,5,primary
47,44,6,primary
47,24,7,primary
47,209,8,primary
47,6,9,primary
47,40,10,primary
48,183,0,primary
48,235,1,primary
48,126,2,primary
48,155,3,primary
48,245,4,primary
48,108,5,primary
48,9,6,primary
48,61,7,primary
48,211,8,primary
48,107,9,primary
48,257,10,primary
48,213,11,primary
48,173,12,primary
48,136,13,primary
48,49,14,primary
48,64,15,primary
48,229,16,primary
48,195,17,primary
48,236,18,primary
48,242,19,primary
48,88,20,primary
48,194,21,primary
49,166,0,primary
49,199,1,primary
49,149,2,primary
49,157,3,primary
49,138,4,primary
49,44,5,primary
49,24,6,primary
49,209,7,primary
49,6,8,primary
49,40,9,primary
50,175,0,primary
50,13,1,primary
50,72,2,primary
50,43,3,primary
50,181,4,primary
50,137,5,primary
50,286,6,primary
50,254,7,primary
50,146,8,primary
50,171,9,primary
50,196,10,primary
50,275,11,primary
50,227,12,primary
50,215,13,primary
50,5,14,primary
50,261,15,primary
50,57,16,primary
51,129,0,primary
51,28,1,primary
51,232,2,primary
51,22,3,primary
51,265,4,primary
51,204,5,primary
51,119,6,primary
51,224,7,primary
51,105,8,primary
51,29,9,primary
51,230,10,primary
51,258,11,primary
51,216,12,primary
51,51,13,primary
51,17,14,primary
51,0,15,primary
51,2,16,primary
51,20,17,primary
52,114,0,primary
52,34,1,primary
52,273,2,primary
52,253,3,primary
52,250,4,primary
52,223,5,primary
52,179,6,primary
52,284,7,primary
52,92,8,primary
52,290,9,primary
52,260,10,primary
52,243,11,primary
52,99,12,primary
52,165,13,primary
52,117,14,primary
52,252,15,primary
52,62,16,primary
52,70,17,primary
52,274,18,primary
52,97,19,primary
52,56,20,primary
52,30,21,primary
53,255,0,primary
53,272,1,primary
53,103,2,primary
53,20,3,primary
53,33,4,primary
53,63,5,primary
53,258,6,primary
53,216,7,primary
53,45,8,primary
53,240,9,primary
53,14,10,primary
53,201,11,primary
53,47,12,primary
53,220,13,primary
53,128,14,primary
53,282,15,primary
53,0,16,primary
53,219,17,primary
53,132,18,primary
53,184,19,primary
53,145,20,primary
53,27,21,primary
53,22,22,primary
54,276,0,primary
54,73,1,primary
54,143,2,primary
54,161,3,primary
54,176,4,primary
54,197,5,primary
54,159,6,primary
55,101,0,primary
55,281,1,primary
55,12,2,primary
55,246,3,primary
55,218,4,primary
55,185,5,primary
55,36,6,primary
55,266,7,primary
55,80,8,primary
55,125,9,primary
55,225,10,primary
55,148,11,primary
55,214,12,primary
55,116,13,primary
55,222,14,primary
55,15,15,primary
55,109,16,primary
55,1,17,primary
55,118,18,primary
55,140,19,primary
55,82,20,primary
55,150,21,primary
55,248,22,primary
55,8,23,primary
55,54,24,primary
55,104,25,primary
55,270,26,primary
55,160,27,primary
55,182,28,primary
56,64,0,primary
56,107,1,primary
56,156,2,primary
56,173,3,primary
56,213,4,primary
56,257,5,primary
56,49,6,primary
56,195,7,primary
56,263,8,primary
56,287,9,primary
56,242,10,primary
56,81,11,primary
56,136,12,primary
56,108,13,primary
56,18,14,primary
56,194,15,primary
56,78,16,primary
56,183,17,primary
56,235,18,primary
56,267,19,primary
56,126,20,primary
56,155,21,primary
56,279,22,primary
56,153,23,primary
56,256,24,primary
56,85,25,primary
56,9,26,primary
56,229,27,primary
56,61,28,primary
56,211,29,primary
56,245,30,primary
56,236,31,primary
56,178,32,primary
56,50,33,primary
56,88,34,primary
57,183,0,primary
57,126,1,primary
57,155,2,primary
57,235,3,primary
57,108,4,primary
57,9,5,primary
57,245,6,primary
57,211,7,primary
57,61,8,primary
57,107,9,primary
57,229,10,primary
57,257,11,primary
57,213,12,primary
57,173,13,primary
57,64,14,primary
57,236,15,primary
57,136,16,primary
57,49,17,primary
57,195,18,primary
57,88,19,primary
57,242,20,primary
57,194,21,primary
57,178,22,primary
57,153,23,primary
58,114,0,primary
58,34,1,primary
58,273,2,primary
58,253,3,primary
58,250,4,primary
58,223,5,primary
58,179,6,primary
58,284,7,primary
58,290,8,primary
58,260,9,primary
58,92,10,primary
58,243,11,primary
58,99,12,primary
58,165,13,primary
58,117,14,primary
58,252,15,primary
58,62,16,primary
58,70,17,primary
58,274,18,primary
58,97,19,primary
58,56,20,primary
58,30,21,primary
59,291,0,primary
59,151,1,primary
59,149,2,primary
59,7,3,primary
59,229,4,primary
59,131,5,primary
59,236,6,primary
59,166,7,primary
59,108,8,primary
59,88,9,primary
60,129,0,primary
60,119,1,primary
60,232,2,primary
60,204,3,primary
60,28,4,primary
60,224,5,primary
60,17,6,primary
60,29,7,primary
60,265,8,primary
60,22,9,primary
60,105,10,primary
60,51,11,primary
60,230,12,primary
61,129,0,primary
61,232,1,primary
61,29,2,primary
61,204,3,primary
61,28,4,primary
61,224,5,primary
61,119,6,primary
61,265,7,primary
61,22,8,primary
61,105,9,primary
61,230,10,primary
61,51,11,primary
61,17,12,primary
61,258,13,primary
61,216,14,primary
62,131,0,primary
62,233,1,primary
62,267,2,primary
62,48,3,primary
62,149,4,primary
62,166,5,primary
63,85,0,primary
63,267,1,primary
63,153,2,primary
63,26,3,primary
63,279,4,primary
63,287,5,primary
63,50,6,primary
63,256,7,primary
63,156,8,primary
63,178,9,primary
63,81,10,primary
63,229,11,primary
63,84,12,primary
